check_date,check_name,table_name,severity,status,metric_value,expected_range,failure_details,created_at,incident_id,incident_status,incident_summary,incident_root_cause_type,incident_root_cause_details,incident_opened_at,incident_owner
2019-11-01,purchase_events_vanish_prev_day,core.fact_events,P0,FAIL,0.0,> 0,No purchases on previous day,2026-02-06 16:00:43.402915,,,,,,,
2019-11-01,volume_prev_day_events_min_1000,core.fact_events,P0,FAIL,0.0,>= 1000,Previous day events below 1000,2026-02-06 16:00:43.394996,,,,,,,
2019-11-01,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1445360.0,> 0 rows on run_date,,2026-02-06 16:00:43.376734,,,,,,,
2019-11-01,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:00:43.408788,,,,,,,
2019-11-02,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1555538.0,> 0 rows on run_date,,2026-02-06 16:00:47.420258,,,,,,,
2019-11-02,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22458.0,> 0,,2026-02-06 16:00:47.449599,,,,,,,
2019-11-02,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1445360.0,>= 1000,,2026-02-06 16:00:47.436526,,,,,,,
2019-11-02,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:00:47.456677,,,,,,,
2019-11-03,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1567774.0,> 0 rows on run_date,,2026-02-06 16:00:51.438477,,,,,,,
2019-11-03,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,21864.0,> 0,,2026-02-06 16:00:51.500829,,,,,,,
2019-11-03,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1555538.0,>= 1000,,2026-02-06 16:00:51.468714,,,,,,,
2019-11-03,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:00:51.51386,,,,,,,
2019-11-04,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1793128.0,> 0 rows on run_date,,2026-02-06 16:00:56.100906,,,,,,,
2019-11-04,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22145.0,> 0,,2026-02-06 16:00:56.140725,,,,,,,
2019-11-04,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1567774.0,>= 1000,,2026-02-06 16:00:56.123953,,,,,,,
2019-11-04,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:00:56.151939,,,,,,,
2019-11-05,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1717244.0,> 0 rows on run_date,,2026-02-06 16:01:00.306954,,,,,,,
2019-11-05,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,26889.0,> 0,,2026-02-06 16:01:00.346714,,,,,,,
2019-11-05,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1793128.0,>= 1000,,2026-02-06 16:01:00.328351,,,,,,,
2019-11-05,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:00.357595,,,,,,,
2019-11-06,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1694821.0,> 0 rows on run_date,,2026-02-06 16:01:04.266605,,,,,,,
2019-11-06,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24875.0,> 0,,2026-02-06 16:01:04.313109,,,,,,,
2019-11-06,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1717244.0,>= 1000,,2026-02-06 16:01:04.292826,,,,,,,
2019-11-06,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:04.32553,,,,,,,
2019-11-07,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1796833.0,> 0 rows on run_date,,2026-02-06 16:01:08.541903,,,,,,,
2019-11-07,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,25319.0,> 0,,2026-02-06 16:01:08.593497,,,,,,,
2019-11-07,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1694821.0,>= 1000,,2026-02-06 16:01:08.571055,,,,,,,
2019-11-07,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:08.607268,,,,,,,
2019-11-08,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1896402.0,> 0 rows on run_date,,2026-02-06 16:01:13.10842,,,,,,,
2019-11-08,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24863.0,> 0,,2026-02-06 16:01:13.164619,,,,,,,
2019-11-08,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1796833.0,>= 1000,,2026-02-06 16:01:13.138594,,,,,,,
2019-11-08,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:13.180037,,,,,,,
2019-11-09,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1877906.0,> 0 rows on run_date,,2026-02-06 16:01:17.588953,,,,,,,
2019-11-09,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,25714.0,> 0,,2026-02-06 16:01:17.648347,,,,,,,
2019-11-09,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1896402.0,>= 1000,,2026-02-06 16:01:17.620989,,,,,,,
2019-11-09,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.00010650160338163891,<= 1%,,2026-02-06 16:01:17.664994,,,,,,,
2019-11-10,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1940575.0,> 0 rows on run_date,,2026-02-06 16:01:22.267226,,,,,,,
